rowdef	Less than One Year	1 Year	2 Years	3 Years	4 Years	5 Years	6 Years	7 Years	8 Years	9 Years	10 Years	11 Years	12 Years	13 Years	14 Years	15 Years	16 Years	17 Years	18 Years	19 Years	20 Years	21 Years	22 Years	23 Years	24 Years	25 Years	26 Years	27 Years	28 Years	29 Years	30 Years	31 Years	32 Years	33 Years	34 Years	35 Years	36 Years	37 Years	38 Years	39 Years	40 Years	41 Years	42 Years	43 Years	44 Years	45 Years	46 Years	47 Years	48 Years	49 Years	50 Years	51 Years	52 Years	53 Years	54 Years	55 Years	56 Years	57 Years	58 Years	59 Years	60 Years	61 Years	62 Years	63 Years	64 Years	65 Years	66 Years	67 Years	68 Years	69 Years	70 Years	71 Years	72 Years	73 Years	74 Years	75 Years	76 Years	77 Years	78 Years	79 Years	80 Years	81 Years	82 Years	83 Years	84 Years	85 Years	86 Years	87 Years	88 Years	89 Years	90 Years	91 Years	92 Years	93 Years	94 Years	95 Years	96 Years	97 Years	98 Years	99 Years	100 Years	101 Years	115 Years	Not Reported	Unknown	total	
11:00am-11:59am	20	20	25	20	20	15	11	13	20	17	13	18	15	14	18	24	19	34	36	52	36	42	49	53	53	46	38	40	49	34	39	44	52	42	32	37	37	37	46	38	40	54	39	28	40	35	48	35	35	42	42	55	51	45	33	46	56	49	50	50	51	37	47	41	35	41	48	40	43	33	33	27	19	29	30	23	24	35	29	23	23	28	26	24	28	18	14	22	14	16	11	9	3	6	3	0	1	2	0	1	0	0	0	15	16	3109	
12:00pm-12:59pm	11	22	22	20	29	16	14	19	22	12	11	19	15	12	14	20	37	45	57	56	56	61	66	40	57	61	41	49	48	51	48	45	47	41	48	43	46	37	25	44	34	42	39	40	41	39	35	42	34	49	40	51	59	50	53	66	49	47	41	37	53	40	52	43	45	51	43	47	40	37	36	29	24	31	31	32	26	24	22	18	26	25	17	21	17	11	21	20	19	19	10	11	15	7	5	2	2	0	0	1	0	0	0	12	13	3313	
1:00pm-1:59pm	21	30	23	25	24	21	21	31	23	20	23	17	20	15	21	25	34	51	66	81	62	54	62	60	56	52	63	67	53	50	55	49	57	46	44	52	59	49	48	44	43	40	55	45	52	68	57	46	44	48	48	52	70	46	57	49	53	46	56	46	55	65	61	58	40	48	47	49	47	58	36	34	38	35	25	28	35	26	31	33	25	28	19	22	35	25	23	15	13	20	12	8	7	8	1	2	4	1	1	0	0	0	0	21	18	3852	
2:00pm-2:59pm	22	22	28	27	20	27	24	23	27	26	22	23	21	22	18	42	54	65	67	66	70	70	58	64	65	67	58	51	56	60	53	63	49	55	62	58	65	49	40	55	41	49	57	44	55	57	43	49	48	55	34	47	66	48	66	62	56	54	62	50	56	54	58	48	43	42	43	54	51	60	37	30	43	38	25	22	29	29	32	34	30	34	31	33	22	23	19	12	16	14	14	11	11	6	6	1	2	0	2	0	0	1	0	22	9	4004	
3:00pm-3:59pm	31	37	42	35	46	35	34	31	41	31	29	38	21	39	37	39	76	96	91	65	76	94	92	79	76	74	87	72	71	67	51	65	57	59	67	53	61	67	58	61	49	58	58	64	57	58	66	55	50	55	61	54	73	62	61	68	59	52	64	58	57	70	49	47	59	51	62	46	49	51	41	37	37	33	45	26	26	24	26	23	32	26	18	22	21	19	15	19	12	19	9	14	5	3	3	2	4	1	0	1	1	0	0	30	17	4615	
4:00pm-4:59pm	28	35	30	33	28	32	38	26	41	27	32	30	40	33	30	43	54	75	86	100	107	84	89	84	81	95	73	84	72	55	84	65	65	81	60	65	67	66	48	51	65	54	62	57	58	60	58	47	64	40	70	62	74	88	63	69	72	64	92	86	57	59	60	43	43	44	52	45	37	51	30	34	30	34	37	32	23	18	23	24	22	19	22	31	15	20	14	14	13	7	9	8	3	3	3	1	2	1	1	0	0	1	0	21	19	4647	
5:00pm-5:59pm	23	26	26	39	37	28	27	30	22	25	38	47	36	35	41	42	66	77	92	89	86	75	106	105	78	74	75	79	79	78	78	70	89	72	76	51	77	55	71	50	67	70	66	74	80	73	67	70	54	68	47	86	79	76	69	62	75	48	55	64	69	57	48	59	56	58	43	39	48	47	40	41	35	35	29	35	26	32	28	22	25	22	19	26	23	20	21	8	14	9	12	7	2	2	2	2	4	3	1	2	0	0	0	38	39	4868	
6:00pm-6:59pm	37	26	31	33	28	35	31	34	39	31	33	31	28	35	46	51	61	67	94	79	99	105	96	108	96	98	99	96	81	70	83	90	82	72	74	74	71	58	63	70	59	67	69	64	60	64	61	61	73	67	79	69	91	76	75	68	89	72	77	80	72	64	53	54	38	62	38	40	40	46	41	24	39	36	32	30	18	27	17	26	21	13	16	14	10	18	12	15	3	14	6	8	4	3	0	4	3	1	0	1	0	0	0	24	61	5004	
7:00pm-7:59pm	24	29	20	25	24	27	26	32	34	27	26	21	20	24	32	48	62	81	88	90	89	100	100	100	108	93	87	96	84	74	82	83	66	77	70	86	60	75	53	68	48	43	58	68	63	62	66	60	59	68	80	72	76	78	68	68	80	67	68	62	63	65	55	48	42	49	40	42	37	45	21	34	29	35	21	20	21	14	21	15	13	16	12	7	8	8	8	8	9	3	6	4	2	2	3	0	0	0	0	0	0	0	0	43	81	4675	
8:00pm-8:59pm	19	28	26	33	27	36	25	25	29	27	25	24	30	28	25	57	71	91	107	116	109	93	130	109	101	94	106	108	87	77	78	80	88	89	81	73	69	56	67	69	65	62	61	90	65	54	58	57	55	56	73	67	71	69	63	74	71	62	57	59	53	41	48	41	53	43	40	38	42	35	21	30	23	32	22	14	22	19	17	13	14	16	11	6	13	10	7	3	3	6	2	4	0	3	1	0	1	0	0	0	0	0	0	35	80	4764	
9:00pm-9:59pm	18	31	21	12	18	21	22	16	23	29	25	24	26	27	38	39	71	90	115	111	107	124	122	95	96	108	122	84	103	92	84	82	79	67	74	77	78	72	74	54	60	65	45	46	71	53	43	70	60	57	67	58	53	53	68	75	53	49	78	54	46	43	47	36	36	33	23	28	27	19	29	9	21	15	14	12	13	15	7	4	10	7	6	3	5	6	6	4	2	2	1	2	2	1	1	1	2	0	0	0	0	0	0	35	97	4419	
10:00pm-10:59pm	21	17	15	16	14	9	12	14	18	19	26	10	12	15	22	29	57	92	113	88	103	120	87	106	97	116	112	100	87	81	69	79	75	68	69	62	55	62	50	61	65	44	51	44	45	50	57	54	46	42	56	50	49	68	46	52	41	56	37	40	34	37	22	36	28	25	16	16	30	17	19	11	11	10	8	9	9	13	8	9	2	4	2	3	3	2	7	4	1	2	3	0	1	1	1	1	0	0	0	0	0	0	0	31	89	3796	
11:00pm-11:59pm	9	11	8	10	8	8	7	14	6	9	9	9	6	19	16	18	45	62	96	95	97	95	121	107	109	91	90	97	105	73	82	66	52	65	57	68	63	46	53	51	35	39	38	39	37	42	40	47	47	43	40	33	62	51	39	33	36	37	40	26	34	26	21	22	17	14	14	10	14	8	12	10	9	4	9	3	4	0	2	2	3	1	4	1	1	2	1	3	0	1	1	0	0	2	0	1	1	2	0	0	0	0	0	27	90	3233	
Unknown Hours	0	2	0	0	0	0	1	0	0	2	3	1	1	0	0	0	5	2	7	12	7	6	6	7	8	2	8	6	9	3	9	6	5	6	7	9	2	2	6	8	2	5	4	5	3	6	3	3	5	3	6	10	5	3	3	1	7	7	6	4	4	3	3	5	8	0	4	2	4	4	4	2	5	4	7	1	3	1	1	1	3	3	1	1	1	1	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	22	353	
Total	358	428	417	421	411	398	389	396	420	382	397	410	375	406	481	644	962	1315	1705	1767	1807	1934	2002	1912	1904	1855	1766	1736	1618	1475	1437	1450	1372	1351	1272	1272	1220	1161	1124	1112	1060	1069	1082	1077	1129	1105	1088	1068	1015	1032	1120	1132	1225	1160	1093	1154	1125	1022	1097	1024	992	948	898	800	789	778	692	669	683	689	545	478	516	502	456	391	376	374	349	329	326	319	272	286	268	226	227	180	162	173	125	110	77	61	37	25	32	15	6	6	1	2	1	517	1136	81983	
