STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP
1,10360,0,1,5,46,1,1,1,0,760,0,1,7,2,7,1,7,4,3,1,1a,750,0
1,10366,0,1,8,7,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10372,0,1,5,80,1,1,1,0,760,0,2,7,3,7,2,7,1,3,2,4a,750,0
1,10379,0,1,5,47,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10408,0,1,5,1,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10417,0,1,5,62,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10453,0,1,5,23,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10459,0,1,5,50,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
1,10466,0,1,5,46,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10467,0,1,5,50,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
1,10475,0,1,5,48,2,0,0,0,410,0,2,7,3,7,4,7,3,3,1,2a,400,0
1,10490,0,1,5,50,2,0,0,0,890,0,4,7,8,7,8,7,8,8,8,8,800,0
1,10491,0,1,5,59,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10491,0,2,5,27,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10508,0,1,5,37,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10515,0,1,5,66,1,0,0,0,230,0,3,7,4,7,8,7,8,8,8,8,100,0
1,10530,0,1,5,49,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10531,0,1,5,54,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
1,10536,0,1,5,90,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10538,0,1,5,26,1,0,0,0,313,0,2,7,3,7,9,7,3,3,2,4d,600,0
1,10573,0,1,5,3,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
1,10583,0,1,5,21,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10591,0,1,5,18,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10592,0,1,5,18,1,0,0,0,440,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10617,0,1,5,41,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10619,0,1,5,53,1,0,1,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10622,0,1,5,37,2,0,0,0,440,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10623,0,1,5,67,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10624,0,1,5,27,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10625,0,1,5,35,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10634,0,1,5,54,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10661,0,1,5,56,1,0,0,0,760,0,2,7,3,7,2,7,1,3,1,2a,750,0
1,10670,0,1,5,21,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10675,0,1,5,57,2,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10677,0,1,5,38,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10686,0,1,5,40,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10692,0,1,5,70,1,0,0,0,741,0,1,7,2,7,1,7,2,3,2,3b,740,0
1,10697,0,1,5,70,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10703,0,1,5,25,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10715,0,1,5,56,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10719,0,1,5,54,1,0,0,0,150,0,3,7,6,7,8,7,8,8,8,8,100,0
1,10720,0,1,5,44,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10731,0,1,5,41,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10738,0,1,5,27,2,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0
1,10746,0,1,5,26,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10750,0,1,5,18,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10750,0,2,5,21,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10751,0,1,5,53,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10752,0,1,5,38,2,0,0,0,440,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10760,0,1,5,63,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10767,0,1,5,77,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10777,0,1,5,39,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
1,10782,0,1,5,27,1,0,0,0,230,0,2,7,3,7,9,7,1,3,1,2d,100,0
1,10782,0,2,5,20,1,0,0,0,230,0,2,7,6,7,9,7,1,3,1,2d,100,0
1,10782,0,3,5,57,1,0,0,0,230,0,2,7,6,7,9,7,1,3,1,2d,100,0
1,10790,0,1,5,63,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10807,0,1,5,30,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10811,0,1,5,46,1,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10812,0,1,5,74,1,0,0,0,330,0,3,7,3,7,8,7,8,8,8,8,350,0
1,10816,0,1,5,58,1,0,0,0,440,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10817,0,1,5,33,1,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10819,0,1,5,55,1,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10823,0,1,5,41,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10827,0,1,5,25,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
1,10828,0,1,5,36,1,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0
1,10830,0,1,5,67,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10832,0,1,5,34,2,1,1,0,741,0,1,7,2,7,2,7,1,3,2,3a,740,0
1,10834,0,1,5,73,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10841,0,1,5,62,1,0,0,0,150,0,4,7,8,7,8,7,8,8,8,8,100,0
1,10841,0,2,5,39,1,0,0,0,150,0,4,7,8,7,8,7,8,8,8,8,100,0
1,10841,0,3,5,28,1,0,0,0,150,0,4,7,8,7,8,7,8,8,8,8,100,0
1,10842,0,1,8,57,1,0,0,0,440,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10849,0,1,5,75,2,0,1,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10850,0,1,5,51,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10853,0,1,5,52,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10862,0,1,5,39,1,1,1,0,320,0,2,7,3,7,4,7,1,3,1,2b,350,0
1,10868,0,1,5,73,2,0,0,0,770,0,1,7,2,7,1,7,4,3,2,3a,750,0
1,10873,0,1,5,51,1,0,0,0,760,0,2,7,3,7,9,7,2,3,9,99,750,0
2,20001,0,1,5,21,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
2,20004,0,1,5,40,2,0,1,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
2,20009,0,1,5,22,2,0,0,0,690,0,1,7,1,7,9,7,4,3,2,4c,990,0
2,20011,0,1,5,55,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
2,20016,0,1,5,26,2,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
2,20018,0,1,5,47,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
2,20018,0,2,5,37,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
2,20024,0,1,8,26,1,0,1,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
2,20029,0,1,5,24,1,0,1,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
2,20053,0,1,5,59,1,1,1,0,760,0,1,7,1,7,3,7,4,3,1,2b,750,0
2,20055,0,1,5,54,1,1,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
2,20057,0,1,5,49,2,0,1,0,900,0,9,7,9,7,8,7,8,8,8,8,990,0
2,20060,0,1,8,18,1,1,1,1,760,0,1,7,2,7,3,7,4,3,1,1b,750,0
2,20061,0,1,5,49,1,0,1,0,690,0,1,7,1,7,9,7,3,3,2,4c,990,0
2,20063,0,1,5,43,2,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
2,20065,0,1,5,22,1,0,0,0,230,0,3,7,4,7,8,7,8,8,8,8,100,0
2,20073,0,1,5,68,1,1,1,0,770,0,1,7,2,7,4,7,3,3,2,3a,750,0
4,40016,0,1,5,54,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40021,0,1,5,49,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
4,40024,0,1,5,37,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40028,0,1,5,25,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40032,0,1,5,83,1,0,1,0,690,0,1,7,2,7,2,7,4,1,2,11b,990,0
4,40034,0,1,5,21,1,0,1,0,440,0,3,7,3,7,8,7,8,8,8,8,400,0
4,40044,0,1,5,59,1,1,1,0,770,0,1,7,2,7,3,7,2,3,2,3a,750,0
4,40047,0,1,5,48,2,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0
4,40048,0,1,5,31,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
4,40050,0,1,5,27,2,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
4,40055,0,1,5,47,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40058,0,1,5,80,1,0,1,0,741,0,1,7,2,7,9,7,3,3,9,99,740,0
